Id,colony,image,area,xcoord,ycoord,b_pres
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,395.2753061,169.6463182,-73.34955805,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,417.8817061,169.6468137,-73.34937914,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,245.0509694,169.64565,-73.34985766,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,59.26965153,169.6417528,-73.35165058,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,138.1154833,169.6422804,-73.35151195,yes
0,Coulman Island,2024-04-29-20-37-31_UMBRA-07_GEC.tif,84.83412281,169.6407488,-73.35145514,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,256.6745255,169.6439758,-73.34888843,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,410.6263152,169.6439283,-73.34862591,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,501.7520761,169.6440121,-73.34978261,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,646.2394887,169.6440794,-73.34933279,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,132.454578,169.6444278,-73.35010175,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,246.5096602,169.6437181,-73.35025554,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,55.66548015,169.6430545,-73.35037326,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,67.16905678,169.6429912,-73.35047237,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,159.1821032,169.6434473,-73.35050696,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,77.76978164,169.6427919,-73.35063988,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,112.8097694,169.6423606,-73.35079685,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,399.0449067,169.6415848,-73.3511482,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,111.0351987,169.6412403,-73.35141335,yes
0,Coulman Island,2024-05-02-18-48-22_UMBRA-05_GEC.tif,165.0973387,169.6402081,-73.35143615,yes
0,Coulman Island,2024-05-24-21-36-07_UMBRA-04_GEC.tif,737.840318,169.6344543,-73.34940328,yes
0,Coulman Island,2024-05-24-21-36-07_UMBRA-04_GEC.tif,252.3750415,169.6354214,-73.34951229,yes
0,Coulman Island,2024-05-24-21-36-07_UMBRA-04_GEC.tif,2859.164293,169.6366365,-73.34901643,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,126.2408903,169.6361529,-73.3513812,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,39.01365002,169.6363608,-73.35113725,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,117.4345303,169.6363664,-73.3510126,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,59.03704922,169.6362319,-73.35012707,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,49.44352871,169.6358543,-73.35013455,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,230.8348624,169.6391233,-73.3499769,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,213.9666394,169.6370256,-73.34959433,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,273.8160383,169.6372457,-73.3492987,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,70.14671987,169.6384592,-73.34893658,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,122.983462,169.6388702,-73.34885074,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,245.7049569,169.6389257,-73.34864131,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,53.46143284,169.6389705,-73.34837157,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,29.70303506,169.6391485,-73.34830201,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,98.25780113,169.6381897,-73.34871695,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,166.6513568,169.6372995,-73.34888045,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,87.23503311,169.6386549,-73.34785876,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,292.1738842,169.637211,-73.34764752,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,289.5542135,169.6375103,-73.34750279,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,275.8815882,169.634269,-73.3474756,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,243.5615424,169.632765,-73.34789076,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,120.1841222,169.6320186,-73.34802339,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,135.4732457,169.6301203,-73.3484473,yes
0,Coulman Island,2024-06-01-21-08-56_UMBRA-04_GEC.tif,29.65073109,169.6357638,-73.3473243,yes
